GameID,Date,Home,WINorLOSS,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
34,1/5/2015,Away,W,36,0.444,13,0.481,22,33,0.667,7,41,25,13,2,12,23
35,1/7/2015,Home,W,32,0.444,13,0.52,19,23,0.826,8,37,21,17,4,17,15
36,1/9/2015,Away,W,40,0.488,10,0.435,16,24,0.667,6,49,27,3,3,14,13
37,1/11/2015,Home,W,42,0.472,16,0.516,20,24,0.833,13,42,34,14,3,8,15
38,1/13/2015,Away,W,42,0.483,12,0.522,9,16,0.563,15,47,34,6,3,16,17
39,1/14/2015,Away,W,36,0.493,10,0.345,23,27,0.852,6,35,23,13,7,12,12
40,1/16/2015,Away,W,42,0.609,12,0.522,14,16,0.875,4,32,30,7,6,17,17
41,1/17/2015,Away,W,40,0.476,11,0.423,16,21,0.762,9,40,31,10,7,9,19
42,1/19/2015,Home,W,37,0.44,9,0.3,10,14,0.714,5,42,31,8,1,10,19
43,1/21/2015,Home,W,39,0.5,13,0.448,19,26,0.731,9,43,30,12,3,16,23
44,1/23/2015,Home,W,40,0.482,10,0.4,13,13,1,10,47,27,6,5,16,13
45,1/25/2015,Home,W,45,0.563,10,0.357,12,18,0.667,8,29,30,8,5,10,20
46,1/28/2015,Home,W,38,0.463,12,0.364,25,26,0.962,12,45,29,4,4,11,18
47,1/30/2015,Home,W,40,0.476,11,0.478,14,22,0.636,7,42,26,12,4,13,17
48,1/31/2015,Home,W,34,0.436,10,0.357,13,18,0.722,8,44,20,6,5,12,16
49,2/2/2015,Away,L,40,0.449,7,0.318,13,17,0.765,9,32,19,6,3,6,15
50,2/4/2015,Home,W,38,0.475,11,0.44,18,27,0.667,9,46,24,7,2,14,22
51,2/6/2015,Home,W,38,0.494,15,0.556,33,37,0.892,4,38,28,13,4,13,19
52,2/8/2015,Away,L,33,0.413,12,0.4,10,11,0.909,3,37,17,6,5,14,16
53,2/9/2015,Away,W,44,0.512,10,0.476,19,20,0.95,10,36,26,14,6,10,21
